name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Into You,Dangerous Woman,Ariana Grande,2016-05-20,244453,14,0.0162,0.623,0.734,1.75e-06,0.145,-5.948,0.107,107.853,4
Issues,Nervous System,Julia Michaels,2017-07-28,176320,69,0.401,0.728,0.415,0.0,0.0616,-6.852,0.0639,114.145,4
All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,86,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,4
Good Time,The Midsummer Station,Owl City,2012-01-01,205933,78,0.0239,0.56,0.872,6.98e-06,0.371,-4.269,0.14,126.05,4
PILLOWTALK,Mind Of Mine (Deluxe Edition),ZAYN,2016-03-25,202746,79,0.117,0.584,0.7,0.0,0.0939,-4.275,0.0456,124.944,4
New Rules,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,209320,80,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,4
no tears left to cry,Sweetener,Ariana Grande,2018-08-17,205920,79,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0.0594,121.993,4
Someone Like You,21,Adele,2011-01-19,285040,7,0.892,0.559,0.33,0.0,0.0975,-8.251,0.0285,135.109,4
Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,87,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4
Lush Life,So Good,Zara Larsson,2017-03-17,201122,78,0.132,0.694,0.712,0.0,0.211,-3.923,0.046,98.023,4
Always Remember Us This Way,A Star Is Born Soundtrack,Lady Gaga,2018-10-05,210200,72,0.299,0.553,0.502,0.0,0.764,-5.972,0.0409,129.976,4
Riptide,Dream Your Life Away,Vance Joy,2014-09-08,204280,81,0.431,0.484,0.731,0.0,0.151,-6.694,0.0379,101.654,4
Sweet but Psycho,Sweet but Psycho,Ava Max,2018-08-17,187436,10,0.0691,0.719,0.704,0.0,0.166,-4.724,0.0476,133.002,4
That's What I Like,24K Magic,Bruno Mars,2016-11-17,206693,82,0.013,0.853,0.56,0.0,0.0944,-4.961,0.0406,134.066,4
Glad You Came,The Wanted (Special Edition),The Wanted,2012-01-01,198186,66,0.056,0.61,0.841,9.85e-06,0.118,-4.579,0.0692,126.889,4
Girls Like You (feat. Cardi B) - Cardi B Version,Red Pill Blues (Deluxe),Maroon 5,2018-06-15,235545,66,0.568,0.851,0.541,0.0,0.13,-6.825,0.0505,124.959,4
Shallow,A Star Is Born Soundtrack,Lady Gaga,2018-10-05,215733,85,0.371,0.572,0.385,0.0,0.231,-6.362,0.0308,95.799,4
Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,P!nk,2012-09-18,242733,81,0.346,0.778,0.547,0.000302,0.132,-7.273,0.0489,95.002,4
Ophelia,Cleopatra,The Lumineers,2016-04-08,160097,75,0.613,0.664,0.573,0.000363,0.0857,-6.519,0.0277,76.023,4
Never Forget You,So Good,Zara Larsson,2017-03-17,213427,75,0.00312,0.583,0.732,9.86e-06,0.269,-5.728,0.0457,145.992,4
What Do You Mean?,Purpose (Deluxe),Justin Bieber,2015-11-13,205680,79,0.59,0.845,0.567,0.00142,0.0811,-8.118,0.0956,125.02,4
Trampoline (with ZAYN),Trampoline (with ZAYN),SHAED,2019-09-26,184280,72,0.56,0.619,0.459,0.0,0.137,-5.782,0.0334,126.803,4
Roar,PRISM (Deluxe),Katy Perry,2013-10-18,223546,75,0.00487,0.554,0.772,6.6e-06,0.354,-4.821,0.0418,179.984,4
Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,2012-12-07,233478,85,0.049,0.726,0.698,0.0,0.309,-4.165,0.0431,143.994,4
