name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Scared to Be Lonely,Scared to Be Lonely,Martin Garrix,2017-01-27,220883,78,0.0895,0.584,0.54,0.0,0.261,-7.786,0.0576,137.972,4
Demons,Night Visions,Imagine Dragons,2012-09-04,175200,73,0.19,0.505,0.71,0.00025,0.329,-3.015,0.0321,89.938,4
Someone Like You,21,Adele,2011-01-19,285040,7,0.892,0.559,0.33,0.0,0.0975,-8.251,0.0285,135.109,4
Little Talks,My Head Is An Animal,Of Monsters and Men,2012-01-01,266600,81,0.0206,0.457,0.757,0.0,0.146,-5.177,0.032,102.961,4
Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,P!nk,2012-09-18,242733,81,0.346,0.778,0.547,0.000302,0.132,-7.273,0.0489,95.002,4
Ellie,Ellie,Regi,2018-08-10,163978,19,0.0701,0.786,0.778,0.0,0.131,-5.623,0.0393,124.987,4
Bang Bang,Sweet Talker (Deluxe Version),Jessie J,2014-10-14,199386,78,0.26,0.706,0.786,0.0,0.38,-3.417,0.091,150.028,4
New Beginning,Contrast,Milo Meskens,2018-03-30,221386,36,0.297,0.573,0.768,0.0,0.377,-6.478,0.11,107.38,4
What Do You Mean?,Purpose (Deluxe),Justin Bieber,2015-11-13,205680,79,0.59,0.845,0.567,0.00142,0.0811,-8.118,0.0956,125.02,4
Hoe Het Danst,Hoe Het Danst,Marco Borsato,2019-05-08,252923,0,0.0597,0.686,0.86,0.0,0.19,-3.358,0.0517,130.027,4
Here With Me,Here With Me,Marshmello,2019-03-08,156346,75,0.0623,0.791,0.565,0.0,0.156,-3.933,0.0439,99.961,4
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),Ellie Goulding,2015-11-06,252534,80,0.247,0.262,0.606,0.0,0.125,-6.646,0.0484,189.857,4
Starships,Pink Friday: Roman Reloaded The Re-Up (Explicit Version),Nicki Minaj,2012-01-01,210626,76,0.135,0.747,0.716,0.0,0.251,-2.457,0.075,125.008,4
One Way or Another (Teenage Kicks),One Way Or Another (Teenage Kicks),One Direction,2013-02-17,157293,67,0.025,0.489,0.867,0.0,0.586,-3.121,0.071,162.131,4
Take Me To Church,Hozier,Hozier,2014-07-20,241688,83,0.634,0.566,0.664,0.0,0.116,-5.303,0.0464,128.945,4
Malibu,Younger Now,Miley Cyrus,2017-09-29,231906,74,0.0767,0.573,0.781,2.64e-05,0.0813,-6.406,0.0555,139.934,4
Don't Let Me Down (feat. Daya),The Chainsmokers- Japan Special Edition,The Chainsmokers,2016-08-10,208053,42,0.16,0.542,0.859,0.00466,0.137,-5.651,0.197,159.797,4
The A Team,+,Ed Sheeran,2011-09-09,258373,77,0.669,0.642,0.289,0.0,0.18,-9.918,0.0367,84.996,4
Reünie,Reünie,Snelle,2019-07-19,172062,56,0.674,0.508,0.35,0.0,0.587,-9.205,0.152,96.478,4
Boom,Overdrive,Natalia,2013-01-01,213173,40,0.00809,0.626,0.706,0.000302,0.115,-7.726,0.103,127.993,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,2019-04-25,163804,75,0.179,0.661,0.723,1.23e-05,0.14,-6.976,0.0566,113.778,4
Hurt Somebody,Hurt Somebody,Noah Kahan,2018-01-12,168640,55,0.336,0.633,0.559,0.0,0.262,-5.135,0.313,114.987,4
Roar,PRISM (Deluxe),Katy Perry,2013-10-18,223546,75,0.00487,0.554,0.772,6.6e-06,0.354,-4.821,0.0418,179.984,4
Whistle,Wild Ones,Flo Rida,2012-06-22,224653,79,0.0208,0.747,0.937,0.0,0.29,-5.746,0.0453,103.976,4
Girl on Fire,Girl on Fire (Remixes) - EP,Alicia Keys,2012-11-18,224920,77,0.135,0.482,0.706,0.00106,0.105,-5.762,0.0607,92.513,4
Say My Name,7,David Guetta,2018-09-14,198946,74,0.137,0.703,0.66,0.0,0.192,-5.119,0.123,95.031,4
